Model,MAE,RMSE,R2,CV_RMSE,CV_R2,Best Parameters
Random Forest,0.07247192445593413,0.11570036075886085,0.4958444456441664,0.1267774313322168,0.47853073682192726,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}"
Decision Tree,0.08815049642172272,0.13472090951172117,0.3164580984022768,0.14144248218382524,0.34710191202162266,"{'max_depth': 7, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Linear Regression,0.10877143579760504,0.1481336747443208,0.17357637665277592,0.15757457616539952,0.19092438896019545,Default
Ridge Regression,0.10885520382191632,0.14814684178425835,0.1734294548069134,0.15756791935186115,0.19103899112591738,{'alpha': 0.1}
Baseline,0.12739561192307558,0.16347188457121106,-0.006424658194793764,0.17729203174028835,-0.013794882043700473,Mean strategy
